id	text
867892979092135936	imag manifest democra tent imped sen vidr vot favor reform previd
867892891045244933	reform previd serv public retrocess aposentad not tecn
867892095016685569	ricard saud jb explic e verd reform previd tem cont assist ai
867890649672056832	ricard saud jb explic e verd reform previd tem cont assist ai
867890592189222912	ricard saud jb explic e verd reform previd tem cont assist ai
867890571096076288	ricard saud jb explic e verd reform previd tem cont assist ai
867890512971407364	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867890492096360448	ricard saud jb explic e verd reform previd tem cont assist ai
867889989346111493	ricard saud jb explic e verd reform previd tem cont assist ai
867889920345505792	ricard saud jb explic e verd reform previd tem cont assist ai
867889598667661314	ricard saud jb explic e verd reform previd tem cont assist ai
867888440213475328	ricard saud jb explic e verd reform previd tem cont assist ai
867887520289357824	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867887490673369089	ricard saud jb explic e verd reform previd tem cont assist ai
867887489004052480	ricard saud jb explic e verd reform previd tem cont assist ai
867887334716567552	gost vide
867887220711206912	ricard saud jb explic e verd reform previd tem cont assist ai
867887179854471168	ricard saud jb explic e verd reform previd tem cont assist ai
867887175081349121	ricard saud jb explic e verd reform previd tem cont assist ai
867887164700463104	ricard saud jb explic e verd reform previd tem cont assist ai
867887086321491968	e sempr bom lembr marun comand reform previd mai defen tem lev marmel cunh
867886501362880513	ricard saud jb explic e verd reform previd tem cont assist ai
867886414926630913	ricard saud jb explic e verd reform previd tem cont assist ai
867886345695395842	ricard saud jb explic e verd reform previd tem cont assist ai
867886218566139904	ricard saud jb explic e verd reform previd tem cont assist ai
867886120889200642	ricard saud jb explic e verd reform previd tem cont assist ai
867885899069214720	ricard saud jb explic e verd reform previd tem cont assist ai
867885891091673089	gent vam convers vc contr favor reform previdenc se quis fal vou am vc aind
867885451734077440	ricard saud jb explic e verd reform previd tem cont assist ai
867884482594050050	ricard saud jb explic e verd reform previd tem cont assist ai
867883247954427912	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867882902935220225	ricard saud jb explic e verd reform previd tem cont assist ai
867882448222384128	ricard saud jb explic e verd reform previd tem cont assist ai
867882352256720900	wagn bali question reform previd enquant govern feder perdo div ins
867882164163051528	ricard saud jb explic e verd reform previd tem cont assist ai
867882139588730880	reform previd mont val dev previd atenu criteri reform
867881567443722241	ah explic alt par ve guerr sir reform previd par
867881530219266048	ricard saud jb explic e verd reform previd tem cont assist ai
867881242888458240	inform pais franc est unid fiz reform previd porq
867881129017315328	empaut reform previd contabiliz roub deficit previd ta hor sair obvi
867880763995377664	conhec reform previd mbl
867880691664642049	ricard saud jb explic e verd reform previd tem cont assist ai
867880306837262337	public suger reform previd e acab privilegi e e ampl
867880146778411010	empaut reform previd par patrocini glob incendiar
867879974681939970	dig reform previd naopec287
867879967404830720	public suger reform previd e acab privilegi e e ampl
867879964015824896	public suger reform previd e acab privilegi e e ampl
867879920063610880	ricard saud jb explic e verd reform previd tem cont assist ai
867879713024479232	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867879665435910144	public suger reform previd e acab privilegi e e ampli lo
867879545285869569	ricard saud jb explic e verd reform previd tem cont assist ai
867879486855028736	ricard saud jb explic e verd reform previd tem cont assist ai
867879443817275393	ricard saud jb explic e verd reform previd tem cont assist ai
867878905952309249	ricard saud jb explic e verd reform previd tem cont assist ai
867878759281688576	ricard saud jb explic e verd reform previd tem cont assist ai
867878731133722624	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867878695784075266	ricard saud jb explic e verd reform previd tem cont assist ai
867877215790411777	ricard saud jb explic e verd reform previd tem cont assist ai
867875491046469632	quant lev reform previd escravag feit corrupt atend banc imperi empresar
867875395978358784	@frjunioradv @georgmarqu @gisellemath @mbrandre vide funcion receit fed
867874360241127424	@romerojuc reform previd escravag feit corrupt atend banc imper
867874160659374080	@di benedett agor cond fic equipar aind reform previd propost
867874086839607299	govern vot reform previd cam diz andre mour
867873920648704000	reform previd dev ser aprov diz coorden
867873874435768320	quant lev  reform previd escravag feit corrupt atend banc imperi empresar
867873870933610496	conf quadr compar acerc substitu alt reform previd
867873216336994304	@micheltem vide faz prest cont pag propin vc aprov canalh reform prev
867872649229283328	@estada reform previd e ajust long praz jur alt financ da
867872173104517120	ond medic cient educ di lobby contr reform previd jose marci camarg
867871950877675521	deput pens sobr impeachment tem ele diret reform previd
867870838523080704	ricard saud jb explic e verd reform previd tem cont assist ai
867870309067763712	aguent reform ortograf agor previd e demal
867870001482616832	sinpr sp reform previd debat lei sit conte
867869747521748992	ricard saud jb explic e verd reform previd tem cont assist ai
867869720787243013	ricard saud jb explic e verd reform previd tem cont assist ai
867869666282274817	ond medic cient educ di lobby contr reform previd jose marci camarg
867869374790725632	cam jur lealdad tem trat propri futur reform previd jog o
867869186927808514	quer sab tant inter pass reform previd grup ira serv
867869116241203202	aguent reform ortograf agor previd e demal
867868554413998081	@estada reform trabalh dar competit empr quebr reform
867868178252169216	aprov reform previd
867868061898080257	desd comec fal reform previd pass receb propagand lig meu
867868053769420800	ricard saud jb explic e verd reform previd tem cont assist ai
867868049084473345	ricard saud jb explic e verd reform previd tem cont assist ai
867867876887330816	@frjunioradv @georgmarqu @gisellemath @mbrandre vide funcion receit fed
867867477988044800	ond medic cient educ di lobby contr reform previd jose marci camarg
867867414196879360	canhot pe e no polit pod cruz brac moment presid da
867867024747368448	ricard saud jb explic e verd reform previd tem cont assist ai
867866844274864129	ricard saud jb explic e verd reform previd tem cont assist ai
867866508591898626	@rommulu @cynaramenez @merlim vide funcion rec
867866364257730565	ricard saud jb explic e verd reform previd tem cont assist ai
867866165401583616	reform previd confiss acougu cartacapit
867866082161381376	ctp cart trabalh previd soc da vere nunc trabalh
867865982341087233	aguent reform ortograf agor previd e demal
867865926384975873	ricard saud jb explic e verd reform previd tem cont assist ai
867865922924630016	ricard saud jb explic e verd reform previd tem cont assist ai
867865876116144129	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867865740787011589	ricard saud jb explic e verd reform previd tem cont assist ai
867865530467799040	ond medic cient educ di lobby contr reform previd jose marci camarg
867865249696948224	aguent reform ortograf agor previd e demal
867864874302550017	ricard saud jb explic e verd reform previd tem cont assist ai
867864627958484992	atenc hoj agend tem convid ele fal reform previd cancel dev
867864316959129601	gost vide
867864298059689986	ricard saud jb explic e verd reform previd tem cont assist ai
867863787059236866	1 lul usou forc brut espanc trabalh lut contr reform previdenc pancad b
867863784253161472	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867863633358925824	quer sab reform previd pag vari romb viuv trabalh
867863560428376067	aproveit explic reform previd ira afet la
867863088468553728	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867863048702369794	ricard saud jb explic e verd reform previd tem cont assist ai
867862653124976640	ataqu hoj esplan mostr e urgent aprov fim contribu sindic obrigator re
867862640055463936	imag manifest democra tent imped sen vidr vot favor reform previd
867861878369910784	reform previd confiss acougu cartacapit
867861868492328961	reform previd confiss acougu cartacapit
